Ccau_BEAF-32.fa	BEAF-32	68.85	280	81	20	1	261	1	279	2.9e-69	243.8
Ccos_BEAF-32.fa	BEAF-32	66.54	279	87	19	1	260	1	279	5.8e-67	236.2
Cfus_BEAF-32.fa	BEAF-32	66.54	279	87	19	1	260	1	279	5.1e-70	246.4
Cind_BEAF-32.fa	BEAF-32	25.00	33	24	1	1	33	188	219	0.012	19.5
Cind_BEAF-32.fa	BEAF-32	38.46	13	8	0	14	26	7	19	0.84	12.3
Cind_BEAF-32.fa	BEAF-32	27.78	18	13	0	7	24	77	94	0.96	11.5
Cind_BEAF-32.fa	BEAF-32	28.57	14	10	0	6	19	167	180	1	9.9
Cind_BEAF-32.fa	BEAF-32	37.50	8	5	0	24	31	263	270	1	9.9
Cind_BEAF-32.fa	BEAF-32	75.00	4	1	0	29	32	56	59	1	9.5
Cind_BEAF-32.fa	BEAF-32	42.86	7	4	0	26	32	126	132	1	8.3
Cind_BEAF-32.fa	BEAF-32	50.00	6	3	0	20	25	254	259	1	8.3
Cind_BEAF-32.fa	BEAF-32	50.00	4	2	0	26	29	237	240	1	7.9
Cind_BEAF-32.fa	BEAF-32	40.00	10	6	0	19	28	21	30	1	7.9
Cind_BEAF-32.fa	BEAF-32	66.67	3	1	0	29	31	137	139	1	7.5
Cpro_BEAF-32.fa	BEAF-32	64.75	279	92	18	1	261	1	279	2.3e-66	234.2
Dacu_BEAF-32.fa	BEAF-32	78.60	277	55	20	1	257	1	277	3.2e-79	276.9
Daff_BEAF-32.fa	BEAF-32	78.68	281	58	9	1	273	4	283	1.9e-92	321.0
Dalb_BEAF-32.fa	BEAF-32	78.08	278	57	18	1	260	1	278	5.8e-79	276.1
Dald_BEAF-32.fa	BEAF-32	76.74	278	60	20	1	259	1	277	4.9e-82	286.3
Damb_BEAF-32.fa	BEAF-32	80.07	284	55	8	1	277	1	283	1.3e-91	318.2
Dame_BEAF-32.fa	BEAF-32	79.38	278	53	21	1	258	1	277	3.5e-79	276.8
